player,position,team,teamsignedwith,age,years,contract,salary,guaranteed,guaranteedpct,yearfreeagent
Jeremy Kerley (20152018) ,WR ,NYJ ,NYJ ,26,4,14000000,3500000,5400000,38.57,2019
Tramaine Brock (20142017) ,CB ,SF ,SF ,26,4,14000000,3500000,4550000,32.5,2018
Darren Sproles (20142016) ,RB ,PHI ,PHI ,32,3,10500000,3500000,5500000,52.38,2017
Steve Smith (20142016) ,WR ,BAL ,BAL ,36,3,10500000,3500000,3500000,33.33,2017
Jerraud Powers (20132015) ,CB ,ARI ,ARI ,28,3,10500000,3500000,3000000,28.57,2016
Stevie Johnson (20152017) ,WR ,SD ,SD ,29,3,10500000,3500000,3870000,36.86,2018
Toby Gerhart (20142016) ,RB ,JAC ,JAC ,28,3,10500000,3500000,4500000,42.86,2017
Donald Brown (20142016) ,RB ,SD ,SD ,28,3,10500000,3500000,4000000,38.1,2017
Malcolm Smith (20152016) ,OLB ,OAK ,OAK ,26,2,7000000,3500000,3750000,53.57,2017
Michael Oher (20152016) ,LT ,CAR ,CAR ,29,2,7000000,3500000,2500000,35.71,2017
Ryan Mallett (20152016) ,QB ,HOU ,HOU ,27,2,7000000,3500000,1750000,25,2017
Rob Ninkovich (20152016) ,DE ,NE ,NE ,31,2,7000000,3500000,4500000,64.29,2017
Todd Gurley (20152018) ,RB ,STL ,STL ,21,4,13823183,3455796,9376550,67.83,2019
Josh Scobee (20122015) ,K ,JAC ,JAC ,33,4,13800000,3450000,3750000,27.17,2016
Ryan Wendell (20142015) ,G ,NE ,NE ,29,2,6850000,3425000,850000,12.41,2016
William Hayes (20132015) ,DE ,STL ,STL ,30,3,10250000,3416667,4550000,44.39,2016
Cole Beasley (20152018) ,WR ,DAL ,DAL ,26,4,13606000,3401500,7356000,54.06,2019
Andy Lee (20122018) ,P ,CLE ,SF ,32,6,20400000,3400000,3600000,17.65,2019
Daryl Smith (20142017) ,ILB ,BAL ,BAL ,33,4,13600000,3400000,3500000,25.74,2018
Andrew Hawkins (20142017) ,WR ,CLE ,CLE ,29,4,13600000,3400000,6800000,50,2018
Chase Daniel (20132015) ,QB ,KC ,KC ,28,3,10000000,3333333,3000000,30,2016
J.T. Thomas (20152017) ,OLB ,NYG ,NYG ,26,3,10000000,3333333,4500000,45,2018
Brandon Fields (20122016) ,P ,MIA ,MIA ,31,4,13300116,3325029,3300000,24.81,2017
Michael Koenen (20112016) ,P ,TB ,TB ,33,6,19500000,3250000,6500000,33.33,2017
Sam Koch (20152020) ,P ,BAL ,BAL ,32,5,16250000,3250000,5000000,30.77,2021
Blair Walsh (20162019) ,K ,MIN ,MIN ,25,4,13000000,3250000,3750000,28.85,2020
DeAndre Levy (20132015) ,OLB ,DET ,DET ,28,3,9750000,3250000,3000000,30.77,2016
Shaun Hill (20152016) ,QB ,MIN ,MIN ,35,2,6500000,3250000,3200000,49.23,2017
Jasper Brinkley (20152016) ,ILB ,DAL ,DAL ,30,2,6500000,3250000,2000000,30.77,2017
Randy Starks (20152016) ,DE ,CLE ,CLE ,31,2,6500000,3250000,3000000,46.15,2017
Walter Thurmond (20152015) ,S ,PHI ,PHI ,27,1,3250000,3250000,2000000,61.54,2016
Trae Waynes (20152018) ,CB ,MIN ,MIN ,23,4,12944368,3236092,12944368,100,2019
Dan Bailey (20142020) ,K ,DAL ,DAL ,27,7,22500000,3214286,6600000,29.33,2021
Justin Gilbert (20142017) ,CB ,CLE ,CLE ,23,4,12833502,3208376,12833502,100,2018
Shaun Suisham (20142017) ,K ,PIT ,PIT ,33,3,9605000,3201667,2850000,29.67,2018
Matt Slauson (20142017) ,G ,CHI ,CHI ,29,4,12800000,3200000,4900000,38.28,2018
John Hughes (20162019) ,DE ,CLE ,CLE ,27,4,12800000,3200000,3560000,27.81,2020
Charles Woodson (20152015) ,S ,OAK ,OAK ,38,1,3200000,3200000,1400000,43.75,2016
Michael Crabtree (20152015) ,WR ,OAK ,OAK ,27,1,3200000,3200000,1300000,40.63,2016
Tavon Austin (20132016) ,WR ,STL ,STL ,24,4,12751002,3187751,12751002,100,2017
