player,position,team,teamsignedwith,age,years,contract,guaranteed,guaranteedpct,salary,yearfreeagent
Mike Miller (2014-2015) ,SG ,POR ,CLE ,35,2,5586940,5586940,100,2793470,2016
Kentavious Caldwell-Pope (2013-2015) ,SG ,DET ,DET ,22,3,8317320,8317320,100,2772440,2017
Andre Drummond (2012-2015) ,C ,DET ,DET ,21,4,10659170,10659170,100,2664793,2016
Noah Vonleh (2014-2015) ,PF ,POR ,CHA ,19,2,5161920,5161920,100,2580960,2018
Trey Burke (2013-2015) ,PG ,UTH ,UTH ,22,3,7645560,7645560,100,2548520,2017
Justise Winslow (2015-2016) ,SF ,MIA ,MIA ,19,2,5075160,5075160,100,2537580,2019
Joel Anthony (2015-2016) ,C ,DET ,DET ,32,2,5000000,2500000,50,2500000,2017
James Johnson (2014-2015) ,PF ,TOR ,TOR ,28,2,5000000,5000000,100,2500000,2016
Leandro Barbosa (2015-2015) ,SG ,GSW ,GSW ,32,1,2500000,2500000,100,2500000,2016
Elfrid Payton (2014-2015) ,PG ,ORL ,ORL ,21,2,4903560,4903560,100,2451780,2018
Meyers Leonard (2012-2015) ,C ,POR ,POR ,23,4,9742479,9742479,100,2435620,2016
Shelvin Mack (2014-2016) ,PG ,ATL ,ATL ,25,3,7300000,4866666,66.67,2433333,2017
C.J. McCollum (2013-2015) ,PG ,POR ,POR ,23,3,7262880,7262880,100,2420960,2017
Myles Turner (2015-2016) ,C ,IND ,IND ,19,2,4821600,4821600,100,2410800,2019
Jeremy Lamb (2012-2015) ,SG ,CHA ,HOU ,23,4,9367716,9367716,100,2341929,2016
Doug McDermott (2014-2015) ,SF ,CHI ,CHI ,23,2,4658400,4658400,100,2329200,2018
Trey Lyles (2015-2016) ,PF ,UTH ,UTH ,19,2,4580400,4580400,100,2290200,2019
Aaron Brooks (2015-2015) ,PG ,CHI ,CHI ,30,1,2250000,2250000,100,2250000,2016
Joe Ingles (2015-2016) ,PF ,UTH ,UTH ,27,2,4396750,4396750,100,2198375,2017
Harrison Barnes (2012-2015) ,SF ,GSW ,GSW ,23,4,8771880,8771880,100,2192970,2016
Jeremy Lin (2015-2016) ,PG ,CHA ,CHA ,27,2,4374255,4374255,100,2187128,2017
Steve Adams (2013-2015) ,C ,OKC ,OKC ,22,3,6554880,6554880,100,2184960,2017
Devin Booker (2015-2016) ,SG ,PHX ,PHX ,18,2,4351440,4351440,100,2175720,2019
Mo Williams (2015-2016) ,PG ,CLE ,CLE ,32,2,4294500,4294500,100,2147250,2017
Gary Neal (2015-2015) ,PG ,WAS ,WAS ,30,1,2139000,2139000,100,2139000,2016
Danny Granger (2014-2015) ,SF ,DET ,MIA ,32,2,4247465,4247465,100,2123733,2016
Ramon Sessions (2014-2015) ,PG ,WAS ,SAC ,29,2,4247465,4247465,100,2123733,2016
Steve Blake (2014-2015) ,PG ,DET ,POR ,35,2,4247465,4247465,100,2123733,2016
Beno Udrih (2014-2015) ,PG ,MEM ,MEM ,33,2,4247465,4247465,100,2123733,2016
Zach LaVine (2014-2015) ,PG ,MIN ,MIN ,20,2,4204200,4204200,100,2102100,2018
Maurice Harkless (2012-2015) ,SF ,POR ,PHI ,22,4,8323699,8323699,100,2080925,2016
Kelly Olynyk (2013-2015) ,C ,BOS ,BOS ,24,3,6227280,6227280,100,2075760,2017
